Date,Not indexed,Indexed,Impressions
2025-12-30,,,27
2025-12-31,,,20
2026-01-01,,,29
2026-01-02,,,24
2026-01-03,34,48,37
2026-01-04,34,48,20
2026-01-05,34,48,22
2026-01-06,34,48,27
2026-01-07,34,48,50
2026-01-08,34,48,52
2026-01-09,34,48,47
2026-01-10,34,48,42
2026-01-11,34,48,24
2026-01-12,34,48,43
2026-01-13,34,48,29
2026-01-14,35,47,46
2026-01-15,35,47,36
2026-01-16,35,47,39
2026-01-17,35,47,29
2026-01-18,35,47,22
2026-01-19,35,47,81
2026-01-20,35,47,40
2026-01-21,34,47,64
2026-01-22,34,47,40
2026-01-23,34,47,42
2026-01-24,34,47,43
2026-01-25,34,47,35
2026-01-26,34,47,47
2026-01-27,34,47,55
2026-01-28,33,47,56
2026-01-29,33,47,51
2026-01-30,33,47,50
2026-01-31,33,47,35
2026-02-01,33,47,64
2026-02-02,33,47,52
2026-02-03,33,47,44
2026-02-04,33,47,68
2026-02-05,33,47,77
2026-02-06,33,47,54
2026-02-07,33,47,40
2026-02-08,32,47,69
2026-02-09,32,47,76
2026-02-10,32,47,63
2026-02-11,33,46,75
2026-02-12,33,46,82
2026-02-13,33,46,80
2026-02-14,33,46,59
2026-02-15,33,46,82
2026-02-16,33,46,77
2026-02-17,33,46,125
2026-02-18,34,46,95
2026-02-19,34,46,77
2026-02-20,34,46,80
2026-02-21,34,46,64
2026-02-22,36,45,77
2026-02-23,36,45,89
2026-02-24,36,45,88
2026-02-25,36,45,89
2026-02-26,36,45,87
2026-02-27,36,45,81
2026-02-28,36,45,67
2026-03-01,36,45,62
2026-03-02,36,45,71
2026-03-03,36,45,77
2026-03-04,38,43,117
2026-03-05,38,43,97
2026-03-06,38,43,98
2026-03-07,38,43,68
2026-03-08,39,42,67
2026-03-09,39,42,56
2026-03-10,39,42,71
2026-03-11,34,49,89
2026-03-12,34,49,79
2026-03-13,34,49,62
2026-03-14,34,49,91
2026-03-15,34,49,81
2026-03-16,29,49,118
2026-03-17,29,49,118
2026-03-18,32,49,116
2026-03-19,32,49,89
2026-03-20,32,49,71
2026-03-21,32,49,73
2026-03-22,31,49,68
2026-03-23,31,49,59
2026-03-24,31,49,77
2026-03-25,31,49,96
2026-03-26,31,49,59
2026-03-27,31,49,49
2026-03-28,31,49,37
