Date,Clicks,Impressions,CTR,Position
2025-12-29,0,25,0%,41.3
2025-12-30,0,27,0%,35.9
2025-12-31,0,20,0%,43.9
2026-01-01,0,29,0%,42.9
2026-01-02,1,24,4.17%,40.4
2026-01-03,0,37,0%,31.7
2026-01-04,0,20,0%,26.6
2026-01-05,0,22,0%,33.8
2026-01-06,0,27,0%,25.1
2026-01-07,0,50,0%,45.6
2026-01-08,0,52,0%,23.2
2026-01-09,0,47,0%,26.2
2026-01-10,0,42,0%,42.1
2026-01-11,0,24,0%,49.8
2026-01-12,0,43,0%,26.3
2026-01-13,0,29,0%,31.4
2026-01-14,2,46,4.35%,18.7
2026-01-15,1,36,2.78%,20.8
2026-01-16,0,39,0%,40.8
2026-01-17,0,29,0%,41.3
2026-01-18,1,22,4.55%,44.7
2026-01-19,1,81,1.23%,21.8
2026-01-20,0,40,0%,33.9
2026-01-21,1,64,1.56%,33.5
2026-01-22,1,40,2.5%,32.8
2026-01-23,0,42,0%,26.8
2026-01-24,0,43,0%,30.7
2026-01-25,0,35,0%,42.8
2026-01-26,1,47,2.13%,30.4
2026-01-27,1,55,1.82%,34.9
2026-01-28,0,56,0%,46.7
2026-01-29,0,51,0%,41.4
2026-01-30,0,50,0%,26.9
2026-01-31,0,35,0%,34.7
2026-02-01,1,64,1.56%,35.2
2026-02-02,0,52,0%,30.6
2026-02-03,0,44,0%,25
2026-02-04,2,68,2.94%,30.6
2026-02-05,1,77,1.3%,32.5
2026-02-06,0,54,0%,42.2
2026-02-07,0,40,0%,26.9
2026-02-08,0,69,0%,50.5
2026-02-09,0,76,0%,56.4
2026-02-10,1,63,1.59%,47
2026-02-11,0,75,0%,46.4
2026-02-12,0,82,0%,52.1
2026-02-13,0,80,0%,42.7
2026-02-14,0,59,0%,48.7
2026-02-15,0,82,0%,54
2026-02-16,0,77,0%,51.3
2026-02-17,3,125,2.4%,42.1
2026-02-18,5,95,5.26%,36.1
2026-02-19,0,77,0%,32.5
2026-02-20,2,80,2.5%,37.8
2026-02-21,0,64,0%,50.3
2026-02-22,3,77,3.9%,50.1
2026-02-23,2,89,2.25%,44.9
2026-02-24,1,88,1.14%,41.9
2026-02-25,1,89,1.12%,43.4
2026-02-26,0,87,0%,48.1
2026-02-27,1,81,1.23%,47.1
2026-02-28,0,67,0%,53
2026-03-01,0,62,0%,46.9
2026-03-02,1,71,1.41%,44.7
2026-03-03,5,77,6.49%,39.8
2026-03-04,1,117,0.85%,51.2
2026-03-05,0,97,0%,45.6
2026-03-06,0,98,0%,46.4
2026-03-07,0,68,0%,48.4
2026-03-08,0,67,0%,37.5
2026-03-09,1,56,1.79%,46
2026-03-10,1,71,1.41%,33
2026-03-11,11,89,12.36%,33.1
2026-03-12,0,79,0%,39.6
2026-03-13,1,62,1.61%,41.5
2026-03-14,0,91,0%,38.4
2026-03-15,0,81,0%,44.7
2026-03-16,2,118,1.69%,36.4
2026-03-17,3,118,2.54%,31
2026-03-18,1,116,0.86%,27.3
2026-03-19,1,89,1.12%,33.6
2026-03-20,2,71,2.82%,37.8
2026-03-21,0,73,0%,40.8
2026-03-22,1,68,1.47%,32.8
2026-03-23,0,59,0%,35.1
2026-03-24,2,77,2.6%,28.7
2026-03-25,1,96,1.04%,24.1
2026-03-26,1,59,1.69%,25.9
2026-03-27,1,49,2.04%,23.3
2026-03-28,0,37,0%,32.8
