Country,Clicks,Impressions,CTR,Position
Denmark,50,1655,3.02%,38.34
United States,5,1728,0.29%,46.51
India,2,341,0.59%,29.89
Poland,2,18,11.11%,20.33
Iraq,2,12,16.67%,4.5
France,1,76,1.32%,61.79
Mexico,1,62,1.61%,23.08
Sweden,1,23,4.35%,76.43
Egypt,1,19,5.26%,42.21
Ghana,1,9,11.11%,36.67
Bulgaria,1,6,16.67%,24
Hungary,1,5,20%,9.8
Kuwait,1,3,33.33%,16.67
United Kingdom,0,282,0%,36.25
Australia,0,93,0%,60.31
Vietnam,0,80,0%,46.15
Germany,0,79,0%,39.67
Canada,0,75,0%,24.49
Philippines,0,72,0%,32.68
Brazil,0,70,0%,19.11
Indonesia,0,56,0%,24.62
Netherlands,0,46,0%,38.59
Spain,0,41,0%,19.17
Saudi Arabia,0,33,0%,57.85
Italy,0,32,0%,20.75
Ireland,0,30,0%,28.87
Pakistan,0,27,0%,32.3
Japan,0,26,0%,15.69
South Korea,0,26,0%,16.23
Ukraine,0,24,0%,44.92
Russia,0,24,0%,45.29
South Africa,0,23,0%,21.39
Bangladesh,0,22,0%,43.5
Thailand,0,21,0%,51.62
Malaysia,0,19,0%,26.74
Nigeria,0,18,0%,12.39
Argentina,0,18,0%,39.72
Norway,0,14,0%,7.57
Singapore,0,14,0%,30.07
Switzerland,0,13,0%,7.08
Belgium,0,13,0%,23.15
Kenya,0,13,0%,23.62
Portugal,0,13,0%,25.62
Venezuela,0,13,0%,28.23
Colombia,0,12,0%,28.75
Israel,0,12,0%,30.67
Turkey,0,11,0%,17.82
Morocco,0,11,0%,41.55
Algeria,0,10,0%,33.5
Hong Kong,0,10,0%,41
Panama,0,9,0%,8.33
China,0,9,0%,8.89
Nepal,0,9,0%,35.44
Bolivia,0,9,0%,38.22
United Arab Emirates,0,9,0%,44.22
Finland,0,8,0%,17.88
New Zealand,0,8,0%,23.88
Peru,0,8,0%,39.88
Czechia,0,7,0%,5.57
Guatemala,0,7,0%,10
Chile,0,7,0%,31.71
Taiwan,0,7,0%,33.57
Serbia,0,7,0%,34.43
Romania,0,7,0%,46
Austria,0,6,0%,4.67
Zambia,0,6,0%,33
Namibia,0,5,0%,11.8
Latvia,0,5,0%,17
Albania,0,4,0%,6.25
Mongolia,0,4,0%,7.5
Tunisia,0,4,0%,20.5
Costa Rica,0,4,0%,25.5
Cambodia,0,4,0%,25.75
Dominican Republic,0,4,0%,26
Uganda,0,4,0%,26
Unknown Region,0,4,0%,26
Greece,0,4,0%,27.75
Croatia,0,4,0%,28
Trinidad & Tobago,0,4,0%,35.75
Kazakhstan,0,4,0%,44.5
Sri Lanka,0,4,0%,47.25
Myanmar (Burma),0,4,0%,54.5
Congo - Kinshasa,0,3,0%,1
Cameroon,0,3,0%,3.67
Ethiopia,0,3,0%,6.67
Jordan,0,3,0%,8
Malta,0,3,0%,8.67
Uzbekistan,0,3,0%,13.67
Ecuador,0,3,0%,17.67
Bahrain,0,3,0%,49.33
Cuba,0,3,0%,55.33
Belarus,0,3,0%,56.33
Zimbabwe,0,3,0%,63.33
Cyprus,0,2,0%,3
Bosnia & Herzegovina,0,2,0%,4
Macedonia,0,2,0%,5
Slovakia,0,2,0%,5.5
Qatar,0,2,0%,9.5
Laos,0,2,0%,10.5
Estonia,0,2,0%,21
Jamaica,0,2,0%,25
Nicaragua,0,2,0%,52.5
Lebanon,0,2,0%,69
Andorra,0,1,0%,1
Azerbaijan,0,1,0%,1
Guam,0,1,0%,1
Mauritius,0,1,0%,1
Malawi,0,1,0%,1
Papua New Guinea,0,1,0%,1
Rwanda,0,1,0%,1
U.S. Virgin Islands,0,1,0%,4
Angola,0,1,0%,5
Armenia,0,1,0%,6
Guyana,0,1,0%,7
Cayman Islands,0,1,0%,8
Honduras,0,1,0%,8
Slovenia,0,1,0%,8
American Samoa,0,1,0%,10
Iran,0,1,0%,10
New Caledonia,0,1,0%,10
Greenland,0,1,0%,11
St. Lucia,0,1,0%,11
Kosovo,0,1,0%,15
Palestine,0,1,0%,20
Oman,0,1,0%,25
Yemen,0,1,0%,26
Montenegro,0,1,0%,30
Fiji,0,1,0%,36
Libya,0,1,0%,40
Réunion,0,1,0%,42
Uruguay,0,1,0%,44
Georgia,0,1,0%,45
Kyrgyzstan,0,1,0%,83
Lithuania,0,1,0%,95
