Top pages,Clicks,Impressions,CTR,Position
https://www.xrnord.com/da,20,36,55.56%,1.61
https://www.xrnord.com/,19,301,6.31%,4.35
https://www.xrnord.com/da/ai-financialauditing,9,53,16.98%,3.09
https://www.xrnord.com/post/history-of-software-development,8,1427,0.56%,21.44
https://www.xrnord.com/da/post/typer-af-ai-kunstig-intelligens,6,617,0.97%,23.38
https://www.xrnord.com/da/the3steps,4,40,10%,1.48
https://www.xrnord.com/blog,3,134,2.24%,7.57
https://www.xrnord.com/contact,3,83,3.61%,7.47
https://www.xrnord.com/da/whyai,3,35,8.57%,4.29
https://www.xrnord.com/usecases,2,148,1.35%,11.24
https://www.xrnord.com/post/key-types-of-ai-artificial-intelligence,1,959,0.1%,77.03
https://www.xrnord.com/da/ai-workshop,1,362,0.28%,49.27
https://www.xrnord.com/ai-strategy,1,59,1.69%,20.27
https://www.xrnord.com/da/post/softwareudviklingens-historie-fra-start-til-nutidens-metoder,1,19,5.26%,20.53
https://www.xrnord.com/da/post/hvad-er-ai-introduktion-kunstig-intelligens,0,513,0%,62.09
https://www.xrnord.com/whyai,0,269,0%,8.22
https://www.xrnord.com/da/post/saadan-bruges-ai-i-virkeligheden,0,200,0%,60.16
https://www.xrnord.com/post/ai-data-pipelines-etl-invisible-infrastructure,0,197,0%,54.91
https://www.xrnord.com/post/scaling-ai-from-pilot-to-production,0,140,0%,19.61
https://www.xrnord.com/da/post/backend-teknologier-vaerktoejer-frameworks-udvikling,0,99,0%,44.98
https://www.xrnord.com/da/post/ai-og-jura-ansvarlig-brug,0,75,0%,44.83
https://www.xrnord.com/post/governance-legal-compliance-in-ai-projects,0,72,0%,46.61
https://www.xrnord.com/da/ai-strategy,0,66,0%,35.77
https://www.xrnord.com/reinvent,0,64,0%,3.72
https://www.xrnord.com/the3steps,0,61,0%,4.08
https://www.xrnord.com/post/what-is-ai-introduction-artificial-intelligence,0,55,0%,14.67
https://www.xrnord.com/ai-workshop,0,54,0%,10.07
https://www.xrnord.com/da/usecases,0,27,0%,10.85
https://www.xrnord.com/post/role-of-data-in-intelligent-systems,0,24,0%,11.83
https://www.xrnord.com/about,0,19,0%,2.21
https://www.xrnord.com/da/post/vaelg-ai-teknologi-virksomhed,0,17,0%,10.06
https://www.xrnord.com/da/post/ai-klar-data-fundament,0,17,0%,13.41
https://www.xrnord.com/da/post/ai-i-jeres-virksomhed-hvor-hvordan-starte,0,17,0%,22.76
https://www.xrnord.com/post/choose-right-ai-technology-business,0,15,0%,8.93
https://www.xrnord.com/da/post/fra-pilot-til-produktion-ai-skalering-i-praksis,0,15,0%,10.47
https://www.xrnord.com/da/post/ai-datapipelines-etl-fundament-skalerbar-ai,0,14,0%,11.64
https://www.xrnord.com/da/post/front-end-softwareudvikling-teknologier-udvikling,0,14,0%,20.5
https://www.xrnord.com/da/post/back-end-softwareudvikling-best-practices-cloud-fremtiden,0,14,0%,31.43
https://www.xrnord.com/post/virtual-software-dream-teams-change-your-game-locally,0,13,0%,8.77
https://www.xrnord.com/da/about,0,12,0%,1.17
https://www.xrnord.com/post/ai-in-your-company-where-and-how-to-begin,0,7,0%,5.57
https://www.xrnord.com/blog/tags/ai-adoption,0,6,0%,7.83
https://www.xrnord.com/da/contact,0,6,0%,8.67
https://www.xrnord.com/da/ai-workshop-booking,0,5,0%,75.6
https://www.xrnord.com/post/front-end-software-development-technologies-evolution,0,4,0%,9.75
https://www.xrnord.com/da/mainold,0,3,0%,21.33
https://www.xrnord.com/post/how-to-choose-the-right-ai-technology-for-your-business,0,2,0%,2.5
https://www.xrnord.com/post/back-end-technologies-tools-frameworks-evolution,0,2,0%,7.5
https://www.xrnord.com/da/post/softwareudviklingsmodeller,0,1,0%,6
